Ticker,MarketValueUSD,WeightPct
SPY,31055.11,34.51
NOK,15338.49,17.04
GOOGL,12075.69,13.42
ONDS,8857.2,9.84
MRVL,5977.4,6.64
MSFT,4518.2,5.02
TSM,4386.9,4.87
HPQ,3770.63,4.19
Cash Fund,4000.0,4.44
